org_name,Year,Month,Recetpts,Disposals,Pending,Response_rate,,,
Central Board of Direct Taxes (Income Tax),2016,1,1600,49,1551,0.030625,,,
Central Board of Direct Taxes (Income Tax),2016,2,2106,207,1899,0.098290598,,,
Central Board of Direct Taxes (Income Tax),2016,3,2465,2702,-237,1.096146045,,,
Central Board of Direct Taxes (Income Tax),2016,4,1912,1320,592,0.690376569,,,
Central Board of Direct Taxes (Income Tax),2016,5,2797,1588,1209,0.567751162,,,
Central Board of Direct Taxes (Income Tax),2016,6,2813,2944,-131,1.046569499,,,
Central Board of Direct Taxes (Income Tax),2016,7,2358,2893,-535,1.226887193,,,
Central Board of Direct Taxes (Income Tax),2016,8,2676,3929,-1253,1.468236173,,,
Central Board of Direct Taxes (Income Tax),2016,9,2258,2043,215,0.904782994,,,
Central Board of Direct Taxes (Income Tax),2016,10,1924,2942,-1018,1.529106029,,,
Central Board of Direct Taxes (Income Tax),2016,11,3452,2527,925,0.732039397,,,
Central Board of Direct Taxes (Income Tax),2016,12,5707,5851,-144,1.025232171,,,
Central Board of Direct Taxes (Income Tax),2017,1,4038,4592,-554,1.137196632,,,
Central Board of Direct Taxes (Income Tax),2017,2,3939,3520,419,0.893627824,,,
Central Board of Direct Taxes (Income Tax),2017,3,4403,3872,531,0.879400409,,,
Central Board of Direct Taxes (Income Tax),2017,4,3638,3849,-211,1.0579989,,,
Central Board of Direct Taxes (Income Tax),2017,5,4409,3890,519,0.882286233,,,
Central Board of Direct Taxes (Income Tax),2017,6,3634,3924,-290,1.079801871,,,
Central Board of Direct Taxes (Income Tax),2017,7,3963,3618,345,0.912944739,,,
Central Board of Direct Taxes (Income Tax),2017,8,3273,4646,-1373,1.41949282,,,
Central Board of Direct Taxes (Income Tax),2017,9,3204,3825,-621,1.193820225,,,
Central Board of Direct Taxes (Income Tax),2017,10,3380,3332,48,0.985798817,,,
Central Board of Direct Taxes (Income Tax),2017,11,3107,3491,-384,1.123591889,,,
Central Board of Direct Taxes (Income Tax),2017,12,2966,2502,464,0.843560351,,,
Central Board of Direct Taxes (Income Tax),2018,1,2622,2684,-62,1.023646072,,,
Central Board of Direct Taxes (Income Tax),2018,2,2427,2658,-231,1.095179234,,,
Central Board of Direct Taxes (Income Tax),2018,3,2932,2811,121,0.958731241,,,
Central Board of Direct Taxes (Income Tax),2018,4,2796,2358,438,0.843347639,,,
Central Board of Direct Taxes (Income Tax),2018,5,2969,3015,-46,1.015493432,,,
Central Board of Direct Taxes (Income Tax),2018,6,2610,2703,-93,1.035632184,,,
Central Board of Direct Taxes (Income Tax),2018,7,2975,2914,61,0.979495798,,,
Central Board of Direct Taxes (Income Tax),2018,8,3051,3151,-100,1.032776139,,,
Central Board of Direct Taxes (Income Tax),2018,9,2160,2249,-89,1.041203704,,,
Central Board of Direct Taxes (Income Tax),2018,10,2592,2770,-178,1.06867284,,,
Central Board of Direct Taxes (Income Tax),2018,11,2674,2355,319,0.880703067,,,
Central Board of Direct Taxes (Income Tax),2018,12,2316,2158,158,0.931778929,,,
Central Board of Direct Taxes (Income Tax),2019,1,2974,2929,45,0.984868863,,,
Central Board of Direct Taxes (Income Tax),2019,2,3212,2853,359,0.888231631,,,
Central Board of Direct Taxes (Income Tax),2019,3,3262,3345,-83,1.025444513,,,
Central Board of Direct Taxes (Income Tax),2019,4,2885,2437,448,0.844714038,,,
Central Board of Direct Taxes (Income Tax),2019,5,3188,3847,-659,1.206712673,102607,,
Central Board of Direct Taxes (Income Tax),2019,6,3059,3027,32,0.989539065,,,
Central Board of Direct Taxes (Income Tax),2019,7,3534,3426,108,0.969439728,,,
Central Board of Direct Taxes (Income Tax),2019,8,3815,3562,253,0.933682831,,,
Central Board of Direct Taxes (Income Tax),2019,9,3761,3735,26,0.993086945,,,
Central Board of Direct Taxes (Income Tax),2019,10,2700,2804,-104,1.038518519,,,
Central Board of Direct Taxes (Income Tax),2019,11,100,190,-90,1.9,,,
Central Board of Indirect Taxes and Customs,2016,1,474,181,293,0.38185654,,,
Central Board of Indirect Taxes and Customs,2016,2,687,413,274,0.601164483,,,
Central Board of Indirect Taxes and Customs,2016,3,1107,1333,-226,1.204155375,,,
Central Board of Indirect Taxes and Customs,2016,4,904,818,86,0.904867257,,,
Central Board of Indirect Taxes and Customs,2016,5,990,960,30,0.96969697,,,
Central Board of Indirect Taxes and Customs,2016,6,1017,918,99,0.902654867,,,
Central Board of Indirect Taxes and Customs,2016,7,724,798,-74,1.102209945,,,
Central Board of Indirect Taxes and Customs,2016,8,679,754,-75,1.110456554,,,
